od;do;D-P;P-D;D-N;N-D;D-I;I-D;NZD
0;1;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
1;2;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
2;3;0.20%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
3;4;0.30%;0.00%;0.00%;0.00%;0.20%;0.00%;0.00%
4;5;3.50%;0.00%;0.10%;0.00%;0.30%;0.10%;0.10%
5;6;16.00%;0.20%;0.50%;0.00%;1.00%;0.10%;0.30%
6;7;28.70%;0.30%;12.30%;0.00%;3.90%;0.30%;1.30%
7;8;28.20%;0.20%;26.00%;0.20%;8.60%;1.20%;5.80%
8;9;9.50%;0.20%;22.60%;0.60%;10.10%;2.60%;5.30%
9;10;4.30%;0.30%;22.10%;0.30%;14.00%;3.60%;6.30%
10;11;1.90%;0.40%;8.00%;1.20%;10.90%;6.70%;9.30%
11;12;1.30%;1.20%;2.40%;4.70%;7.60%;8.70%;10.40%
12;13;1.40%;1.90%;1.80%;11.00%;4.90%;9.10%;8.30%
13;14;1.40%;5.80%;1.00%;22.40%;4.90%;7.80%;9.90%
14;15;0.90%;17.60%;0.60%;27.50%;4.60%;7.60%;10.60%
15;16;0.50%;26.80%;0.40%;14.30%;5.80%;7.80%;11.70%
16;17;0.50%;18.80%;1.20%;8.30%;7.50%;9.10%;7.60%
17;18;0.70%;10.70%;0.80%;4.00%;7.10%;8.40%;5.10%
18;19;0.30%;5.70%;0.30%;2.80%;4.30%;8.00%;3.60%
19;20;0.10%;3.80%;0.10%;2.00%;2.60%;8.20%;2.30%
20;21;0.20%;2.40%;0.00%;0.30%;1.10%;5.50%;1.20%
21;22;0.20%;2.30%;0.00%;0.30%;0.40%;3.30%;0.50%
22;23;0.00%;1.20%;0.00%;0.10%;0.10%;1.40%;0.20%
23;24;0.00%;0.20%;0.00%;0.00%;0.00%;0.60%;0.10%
